0,1,2,_source,_url,_table_type,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes,_table_id,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,xG,xGA,xGD,xGD/90,Wk,xG.1
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Fri,1982-06-25,17:15,England eng,1–0,kw Kuwait,39700,San Mames (Neutral Site),Gilberto Aristizabal Murcia,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,First group stage,Fri,1982-06-25,21:00,Northern Ireland nir,1–0,es Spain,49562,Luis Casanova (Neutral Site),Hector Ortiz,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Second group stage,Mon,1982-06-28,17:15,Austria at,0–1,fr France,37000,Vicente Calderon (Neutral Site),Karoly Palotai,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Second group stage,Mon,1982-06-28,21:00,Poland pl,3–0,be Belgium,65000,Camp Nou (Neutral Site),Jesus Paulino Siles,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Second group stage,Tue,1982-06-29,17:15,Italy it,2–1,ar Argentina,43000,Sarria (Neutral Site),Nicolae Rainea,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Second group stage,Tue,1982-06-29,21:00,West Germany de,0–0,eng England,75000,Santiago Bernabeu (Neutral Site),Arnaldo Coelho,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Second group stage,Thu,1982-07-01,17:15,Austria at,2–2,nir Northern Ireland,20000,Vicente Calderon (Neutral Site),Adolf Prokop,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Second group stage,Thu,1982-07-01,21:00,Belgium be,0–1,su Soviet Union,45000,Camp Nou (Neutral Site),Michel Vautrot,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Second group stage,Fri,1982-07-02,17:15,Argentina ar,1–3,br Brazil,44000,Sarria (Neutral Site),Mario Rubio Vazquez,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Second group stage,Fri,1982-07-02,21:00,West Germany de,2–1,es Spain,90089,Santiago Bernabeu (Neutral Site),Paolo Casarin,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Second group stage,Sun,1982-07-04,17:15,France fr,4–1,nir Northern Ireland,37000,Vicente Calderon (Neutral Site),Alojzy Jarguz,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Second group stage,Sun,1982-07-04,21:00,Poland pl,0–0,su Soviet Union,65000,Camp Nou (Neutral Site),Robert Valentine,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Second group stage,Mon,1982-07-05,17:15,Italy it,3–2,br Brazil,44000,Sarria (Neutral Site),Abraham Klein,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Second group stage,Mon,1982-07-05,21:00,Spain es,0–0,eng England,75000,Santiago Bernabeu (Neutral Site),Alexis Ponnet,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Semi-finals,Thu,1982-07-08,17:15,Poland pl,0–2,it Italy,50000,Camp Nou (Neutral Site),Juan Cardellino De San Vicente,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,Notes,sched_all,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,West Germany won on penalty kicks following extra time,sched_all,Semi-finals,Thu,1982-07-08,21:00,West Germany de,(5) 3–3 (4),fr France,70000,Ramon Sanchez Pizjuan (Neutral Site),Charles Corver,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Third-place match,Sat,1982-07-10,20:00,Poland pl,3–2,fr France,28000,Jose Rico Perez (Neutral Site),Antonio Garrido,Match Report,,,,,,
,,,1982_fixtures,https://fbref.com/en/comps/1/1982/schedule/1982-World-Cup-Scores-and-Fixtures,visible,,,,,,,,,,,,,,sched_all,Final,Sun,1982-07-11,20:00,Italy it,3–1,de West Germany,90000,Santiago Bernabeu (Neutral Site),Arnaldo Coelho,Match Report,,,,,,
